"_id" "atleta_id" "rodada_id" "nome" "posicao" "jogou" "pontos_num" "media_num" "preco_num" "variacao_num" "jogos_num" "mando" "adversario" "mando_fut" "adversario_fut" "pontos_fut" "variacao_fut" "vai_jogar"
"53" "57ad288704de860594d2e1a9" 38067 15 "Danilo" "meia" TRUE 2.1 1.07 7.26 0.13 4 TRUE "cor" TRUE "cor" 7.1 0.94 TRUE
"54" "57ad288704de860594d2e1e5" 42247 15 "Danny Morais" "zagueiro" TRUE 5.4 0.71 2.14 0.6 15 FALSE "ame" TRUE "scz" 0.1 -0.83 TRUE
"55" "57ad288704de860594d2e276" 68723 15 "Demerson" "zagueiro" TRUE 0.2 0.03 2.34 0.12 3 FALSE "fig" TRUE "cha" 0 0 FALSE
"56" "57ad288704de860594d2e28a" 69782 15 "Dener Assunção" "lateral" TRUE 10.7 4.13 10.39 1.81 9 FALSE "fig" TRUE "cha" 2.5 -1.32 TRUE
"57" "57ad288704de860594d2e2cb" 51175 15 "Denis" "goleiro" TRUE 4 3.77 8.82 0.1 14 FALSE "cor" FALSE "gre" 13 1.81 TRUE
"58" "57ad288704de860594d2e2d5" 60791 15 "Derley" "meia" TRUE 3.4 2.3 4.19 0.68 2 FALSE "ame" TRUE "scz" 0 0 FALSE
"59" "57ad288704de860594d2e2ea" 38431 15 "Diego Cavalieri" "goleiro" TRUE 8 3.42 10.54 -1.32 15 TRUE "flu" FALSE "cap" 9.7 0.51 TRUE
"60" "57ad288704de860594d2e316" 68725 15 "Diego Renan" "lateral" TRUE 7.3 6.06 13.31 0.15 14 FALSE "cap" TRUE "vit" 5.8 -0.22 TRUE
"61" "57ad288704de860594d2e32a" 68911 15 "Diego Souza" "meia" TRUE 17 6.28 21.53 3.63 15 TRUE "spt" FALSE "cru" 4.1 -2.18 TRUE
"62" "57ad288704de860594d2e36b" 70916 15 "Diogo Barbosa" "lateral" TRUE 8.7 3.96 6.34 1.13 9 TRUE "bot" FALSE "cha" 2.1 -1.02 TRUE
"63" "57ad288704de860594d2e3a1" 84927 15 "Dodô" "meia" TRUE -0.3 -0.58 3.26 -0.04 4 TRUE "fig" FALSE "cor" 4 0.77 TRUE
"64" "57ad288704de860594d2e3d0" 40990 15 "Dorival Júnior" "tecnico" TRUE 3.54 4.2 11.48 0.52 15 TRUE "san" FALSE "vit" 5.86 0.4 TRUE
"65" "57ad288704de860594d2e40c" 78407 15 "Douglas Grolli" "zagueiro" TRUE 0.4 3.93 8.41 -0.87 7 FALSE "san" TRUE "pon" -2.3 -0.7 TRUE
"66" "57ad288704de860594d2e420" 79826 15 "Douglas Santos" "lateral" TRUE 0.4 3.24 11.52 -0.09 9 TRUE "cam" FALSE "pal" 0 0 FALSE
"67" "57ad288704de860594d2e434" 38738 15 "Douglas" "meia" TRUE 1.1 2.11 7.18 -0.18 13 FALSE "spt" TRUE "gre" 7.7 1.21 TRUE
"68" "57ad288704de860594d2e448" 92497 15 "Douglas" "meia" TRUE 4.2 3.16 6.63 1.03 11 TRUE "flu" FALSE "cap" -2.5 -1.27 TRUE
"69" "57ad288704de860594d2e46c" 68920 15 "Dudu" "atacante" TRUE 0.1 5.19 13.01 -0.53 12 FALSE "int" TRUE "pal" 0.8 -0.13 TRUE
"70" "57ad288704de860594d2e480" 73511 15 "Dudu" "meia" TRUE -0.6 0.08 8.59 -0.16 5 TRUE "flu" FALSE "cap" 0.5 0 TRUE
"71" "57ad288704de860594d2e4dd" 78361 15 "Edgardo Bauza" "tecnico" TRUE 2.74 3.63 12.63 -0.6 15 FALSE "cor" FALSE "gre" 3.02 -0.08 TRUE
"72" "57ad288704de860594d2e4ef" 38523 15 "Edílson" "lateral" TRUE -0.9 3.56 9.56 -0.55 13 FALSE "spt" TRUE "gre" 12.8 2.48 TRUE
"73" "57ad288704de860594d2e4f6" 62024 15 "Edimar" "lateral" TRUE -0.2 -0.5 3.21 -0.37 2 FALSE "flu" TRUE "cru" 0.6 -0.04 TRUE
"74" "57ad288704de860594d2e50a" 37792 15 "Edinho" "meia" TRUE 1.7 1.66 2.41 -0.74 9 FALSE "cam" FALSE "scz" 0.5 -0.2 TRUE
"75" "57ad288704de860594d2e51d" 55519 15 "Edmílson" "atacante" TRUE 13.3 3.13 9.09 2.73 12 TRUE "spt" FALSE "cru" 1.4 -1.9 TRUE
"76" "57ad288704de860594d2e545" 80370 15 "Edson" "meia" TRUE 1.7 2.98 6.92 -0.32 12 TRUE "flu" FALSE "cap" 0.9 -0.22 TRUE
"77" "57ad288704de860594d2e559" 37657 15 "Edu Dracena" "zagueiro" TRUE 3.3 2.86 5.58 0.26 8 FALSE "int" TRUE "pal" 5 0.38 TRUE
"78" "57ad288704de860594d2e56d" 87211 15 "Eduardo Baptista" "tecnico" TRUE 1.81 2.83 9.54 0.06 15 FALSE "san" TRUE "pon" 2.7 0.06 TRUE
"79" "57ad288704de860594d2e581" 70360 15 "Eduardo Sasha" "atacante" TRUE 0.3 4.53 11.59 -0.96 14 TRUE "int" FALSE "pon" 0.6 -0.17 TRUE
"80" "57ad288704de860594d2e5b3" 78994 15 "Eduardo" "meia" TRUE 2.5 2.62 6.7 0.3 6 TRUE "cam" FALSE "pal" 0 0 FALSE
"81" "57ad288704de860594d2e5e2" 37917 15 "Elano" "meia" TRUE -0.3 -0.37 5.7 -0.76 3 TRUE "san" FALSE "vit" 0 0 FALSE
"82" "57ad288704de860594d2e60a" 54395 15 "Elias" "meia" TRUE -1.3 0.18 10.25 -1.19 4 TRUE "cor" TRUE "cor" -1.4 -0.31 TRUE
"83" "57ad288704de860594d2e625" 50313 15 "Elicarlos" "meia" TRUE 4.2 2.08 8.26 0.76 13 TRUE "fig" FALSE "cor" 4.3 0.05 TRUE
"84" "57ad288704de860594d2e671" 86972 15 "Emerson Santos" "zagueiro" TRUE 9.9 4.36 7.07 1.15 8 TRUE "bot" FALSE "cha" 1.4 -1.35 TRUE
"85" "57ad288704de860594d2e6da" 84848 15 "Erik" "atacante" TRUE 10.4 4.3 5.74 1.97 4 FALSE "int" TRUE "pal" 7.5 -0.18 TRUE
"86" "57ad288704de860594d2e6ee" 82952 15 "Ermel" "atacante" TRUE -0.5 3.23 9.41 -0.26 15 TRUE "fig" FALSE "cor" 0 0 FALSE
"87" "57ad288704de860594d2e716" 49651 15 "Ernando" "zagueiro" TRUE -1.5 4.29 11.31 -0.8 15 TRUE "int" FALSE "pon" 1.1 0.2 TRUE
"88" "57ad288704de860594d2e72a" 84890 15 "Euller" "lateral" TRUE 3.3 3.83 5.08 -0.13 8 FALSE "cap" TRUE "vit" 9.9 1.37 TRUE
"89" "57ad288704de860594d2e770" 86519 15 "Everton Felipe" "meia" TRUE 7 0.83 3.47 1.16 13 TRUE "spt" FALSE "cru" 6.8 0.24 TRUE
"90" "57ad288704de860594d2e798" 50301 15 "Everton" "meia" TRUE 16 2.85 14.76 3.17 12 FALSE "bot" TRUE "fla" 0 0 FALSE
"91" "57ad288704de860594d2e7ac" 86757 15 "Everton" "atacante" TRUE 1 3.46 6.85 -0.8 15 FALSE "spt" TRUE "gre" 1.3 -0.03 TRUE
"92" "57ad288704de860594d2e7c0" 80318 15 "Ezequiel" "lateral" TRUE -0.5 -0.5 2.18 -0.82 1 FALSE "flu" TRUE "cru" 0 0 FALSE
"93" "57ad288704de860594d2e819" 38425 15 "Fábio Ferreira" "zagueiro" TRUE 0.2 3.09 6.16 -0.27 11 FALSE "san" TRUE "pon" 4.3 0.69 TRUE
"94" "57ad288704de860594d2e83a" 37656 15 "Fábio" "goleiro" TRUE 4.7 1.23 9.94 1.89 15 FALSE "flu" TRUE "cru" -1 -1.12 TRUE
"95" "57ad288704de860594d2e89e" 42500 15 "Fagner" "lateral" TRUE 3.4 6.02 23.77 -0.98 15 TRUE "cor" TRUE "cor" 0 0 FALSE
"96" "57ad288704de860594d2e8a4" 73580 15 "Falcão" "tecnico" TRUE 0.55 0.55 9.11 -1.87 1 TRUE "int" FALSE "pon" 3.7 0.4 TRUE
"97" "57ad288704de860594d2e8cc" 71040 15 "Felipe Amorim" "meia" TRUE 1.2 0.87 4.02 0.16 7 FALSE "cam" FALSE "scz" 0.7 -0.13 TRUE
"98" "57ad288704de860594d2e907" 50295 15 "Felipe Menezes" "meia" TRUE -1.2 0.53 3.69 -0.53 3 FALSE "san" TRUE "pon" 0 0 FALSE
"99" "57ad288704de860594d2e94a" 68758 15 "Fernandinho" "atacante" TRUE -2.5 1.79 5.57 -1.22 8 FALSE "bot" TRUE "fla" 3.1 0.86 TRUE
